division,district,year,total_area_sq_km,riverine_area_sq_km,population,max_temp_c,min_temp_c,rainfall_meters,rice_metric_ton,wheat_metric_ton,sugarcane_metric_ton,potato_metric_ton,road_km,railway_km,waterway_monsoon_season_km,waterway_year_round_km,railway_station,steamer_station,bus_station
Rajshahi,Nawabganj,2011,1703,150,1648000,22.6,8.6,1.48,421077,47984,92351,29362,3620,46,212,44,6,4,14
Rajshahi,Pabna,2011,2376,160,2523000,34.2,8.4,1.74,500602,98814,272978,10338,5584,58,321,185,10,0,14
Rajshahi,Rajshahi,2011,2425,97,2595000,38,5.8,4.64,1138781,80031,556796,785175,6807,76,156,48,11,0,10
Rajshahi,Sirajganj,2011,2402,291,3097000,34.2,8.4,1.74,748224,4940,41917,35112,4422,54,378,NA,8,0,NA
Rangpur,Dinajpur,2011,3444,19,2990000,20.8,9.2,1.63,1575545,51549,122222,669483,7180,202,245,94,19,0,58
Rangpur,Gaibandha,2011,2115,222,2379000,36.3,6,1.93,806343,25223,176694,152088,3845,84,266,45,12,2,26
Rangpur,Kurigram,2011,2245,245,2069000,21.2,9.3,1.82,698616,20588,5278,60140,3467,42.5,277,196,8,5,12
Rangpur,Lalmonirhat,2011,1247,32,1256000,21.2,9.3,1.82,459590,3900,2794,125932,3166,112,72,42,15,0,21
Rangpur,Nilphamari,2011,1547,28,1834000,21.2,9.3,1.82,583645,10062,6006,352231,3518,63,332,302,9,0,27
Rangpur,Panchagarh,2011,1405,52,988000,20.8,9.2,1.63,393506.8,45696,77120,96712,3247,24,212,121,3,0,20
Rangpur,Rangpur,2011,2401,98,2881000,36.3,6,1.93,988802,7785,64858,1125416,7793,65,12,7,8,0,38
Rangpur,Thakurgaon,2011,1782,61,1390000,20.8,9.2,1.63,611437,142149,211714,424312,3023,51,0,0,6,0,14
Sylhet,Habiganj,2011,2637,64,2089000,23.7,8.6,2.07,713876,765,5700,19625,3556,55,386,94,11,12,35
Sylhet,Maulvibazar,2011,2799,9,1919000,23.7,8.6,2.07,572761,855,1759,25086,4037,81,170,96,12,1,19
Sylhet,Sunamganj,2011,3747,178,2468000,32.7,8.6,3.08,652494,835,1850,5127,3824,15,1081,498,2,18,12
Sylhet,Sylhet,2011,3452,97,3434000,36.8,7.7,3.08,4993791,428,1,9503,7029,57,718,262,7,13,99
